canton_id,canton,sfo_commune_id,commune,income_tax_canton,income_tax_commune,income_tax_church_protestant,income_tax_church_roman_catholic,income_tax_church_christian_catholic,wealth_tax_canton,wealth_tax_commune,wealth_tax_church_protestant,wealth_tax_church_roman_catholic,wealth_tax_church_christian_catholic,profit_canton,profit_commune,profit_church,capital_canton,capital_commune,capital_church
1,ZH,131,Adliswil,98.00,102.00,10.00,10.00,14.00,98.00,102.00,10.00,10.00,14.00,98.00,112.00,0.00,98.00,112.00,0.00
1,ZH,241,Aesch (ZH),98.00,91.00,11.00,10.00,14.00,98.00,91.00,11.00,10.00,14.00,98.00,101.60,0.00,98.00,101.60,0.00
1,ZH,1,Aeugst am Albis,98.00,90.00,12.00,13.00,14.00,98.00,90.00,12.00,13.00,14.00,98.00,102.33,0.00,98.00,102.33,0.00
1,ZH,2,Affoltern am Albis,98.00,122.00,12.00,13.00,14.00,98.00,122.00,12.00,13.00,14.00,98.00,134.51,0.00,98.00,134.51,0.00
1,ZH,211,Altikon,98.00,114.00,12.00,13.00,14.00,98.00,114.00,12.00,13.00,14.00,98.00,126.19,0.00,98.00,126.19,0.00
1,ZH,291,Andelfingen,98.00,117.00,12.00,14.00,14.00,98.00,117.00,12.00,14.00,14.00,98.00,129.50,0.00,98.00,129.50,0.00
1,ZH,51,Bachenbülach,98.00,106.00,10.00,11.00,14.00,98.00,106.00,10.00,11.00,14.00,98.00,116.46,0.00,98.00,116.46,0.00
1,ZH,81,Bachs,98.00,128.00,14.00,10.00,14.00,98.00,128.00,14.00,10.00,14.00,98.00,140.96,0.00,98.00,140.96,0.00
1,ZH,52,Bassersdorf,98.00,114.00,12.00,9.00,14.00,98.00,114.00,12.00,9.00,14.00,98.00,124.53,0.00,98.00,124.53,0.00
1,ZH,297,Bauma,98.00,120.00,14.00,13.00,14.00,98.00,120.00,14.00,13.00,14.00,98.00,133.69,0.00,98.00,133.69,0.00
1,ZH,22,Benken (ZH),98.00,110.00,14.00,14.00,14.00,98.00,110.00,14.00,14.00,14.00,98.00,124.00,0.00,98.00,124.00,0.00
1,ZH,23,Berg am Irchel,98.00,98.00,12.00,13.00,14.00,98.00,98.00,12.00,13.00,14.00,98.00,110.14,0.00,98.00,110.14,0.00
1,ZH,242,Birmensdorf (ZH),98.00,112.00,11.00,10.00,14.00,98.00,112.00,11.00,10.00,14.00,98.00,122.54,0.00,98.00,122.54,0.00
1,ZH,3,Bonstetten,98.00,109.00,12.00,11.00,14.00,98.00,109.00,12.00,11.00,14.00,98.00,120.56,0.00,98.00,120.56,0.00
1,ZH,82,Boppelsen,98.00,94.00,13.00,10.00,14.00,98.00,94.00,13.00,10.00,14.00,98.00,105.95,0.00,98.00,105.95,0.00
1,ZH,213,Brütten,98.00,85.00,12.00,13.00,14.00,98.00,85.00,12.00,13.00,14.00,98.00,97.27,0.00,98.00,97.27,0.00
1,ZH,112,Bubikon,98.00,118.00,14.00,12.00,14.00,98.00,118.00,14.00,12.00,14.00,98.00,131.62,0.00,98.00,131.62,0.00
1,ZH,24,Buch am Irchel,98.00,106.00,12.00,13.00,14.00,98.00,106.00,12.00,13.00,14.00,98.00,118.17,0.00,98.00,118.17,0.00
