SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1995.0,1.5,23.0,8048,47.394304894371,8.486971734285,0.0,2022.0,1,0,1,1,1,0,0,1,0,0,0
FLAT,1790.0,2.5,45.0,8630,47.259374897375,8.852511734284,2.0,1996.0,1,0,0,0,0,0,1,0,0,0,0
FLAT,1985.0,3.5,85.0,8050,47.413564898376,8.568101738284,1.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1892.0,3.5,65.0,8708,47.258905899377,8.691411739288,1.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1970.0,1.5,36.0,8048,47.390815893379,8.486351734282,0.0,2026.0,0,1,1,1,0,0,0,0,1,0,1
STUDIO,1350.0,1.5,35.0,8483,47.455264896374,8.778611734281,3.0,1996.0,0,0,1,0,0,0,0,0,0,0,0
FLAT,1890.0,2.5,57.0,8620,47.319864897375,8.809531734285,2.0,2025.0,0,1,1,1,0,0,1,0,1,0,1
FLAT,1850.0,2.5,57.0,8620,47.319864897375,8.809531734285,1.0,2025.0,0,1,1,1,0,0,1,0,1,0,1
FLAT,1980.0,2.5,65.0,8620,47.319864897375,8.809531734285,1.0,2025.0,0,1,1,1,0,0,1,0,1,0,1
FLAT,1890.0,2.5,57.0,8620,47.319864897375,8.809531734285,0.0,2025.0,0,1,1,1,0,0,1,0,1,0,1
SINGLE_ROOM,795.0,1.0,14.0,8483,47.456415896374,8.774591735287,1.0,1996.0,0,0,1,0,0,0,0,1,0,0,0
TERRACE_FLAT,1800.0,2.5,78.0,8332,47.395533893379,8.777931734285,2.0,1965.0,1,1,0,1,1,0,0,0,0,0,0
FLAT,1830.0,4.0,84.0,8617,47.312184894371,8.717661734289,0.0,1972.0,1,1,0,1,0,0,1,1,0,0,0
FLAT,1800.0,3.5,92.0,8196,47.611868897375,8.523901734286,1.0,2007.0,1,0,0,0,1,0,0,0,0,0,0
SINGLE_ROOM,1050.0,1.0,16.0,8047,47.372884893371,8.490601736282,0.0,1996.0,1,1,1,1,1,0,0,0,0,0,0
FLAT,1930.0,3.5,113.0,8413,47.530724896374,8.657351734286,0.0,2014.0,0,1,0,1,0,0,0,0,0,0,0
FLAT,1720.0,1.5,53.0,8632,47.263099893379,8.850671734281,0.0,1974.0,1,1,1,0,1,0,0,0,0,0,0
OTHER_TYPE,1790.0,2.5,65.0,8046,47.419839894371,8.505201738285,1.0,1985.0,1,1,0,1,1,0,0,0,0,0,0
SINGLE_ROOM,995.0,1.0,13.0,8004,47.376213894371,8.529711733281,2.0,1996.0,0,0,0,0,1,0,0,1,0,0,0
STUDIO,1450.0,1.0,25.0,8057,47.401125896374,8.545271738281,0.0,1996.0,0,1,1,0,0,0,0,0,1,0,1
FLAT,1120.0,1.0,14.0,8604,47.382564899377,8.677661734289,2.0,1996.0,0,1,0,1,0,0,0,0,0,0,0
STUDIO,1730.0,1.5,32.0,8048,47.386044893371,8.479351734288,2.0,2021.0,0,1,1,0,1,0,0,0,1,0,1
FLAT,1735.0,2.5,53.0,8193,47.573774899377,8.514151735287,0.0,2019.0,0,1,1,0,0,0,0,0,0,0,1
FLAT,1587.0,1.5,31.0,8003,47.372294894371,8.514861734286,3.0,1996.0,1,0,1,0,0,0,0,0,0,0,0
FLAT,1971.0,1.0,17.0,8006,47.386584890378,8.548501734288,0.0,2025.0,1,0,1,1,0,0,0,0,0,0,0
FLAT,1600.0,1.5,23.0,8057,47.404084894372,8.550461734288,0.0,2019.0,1,1,1,1,0,0,0,1,0,0,0
FLAT,1630.0,2.0,49.0,8610,47.342634894371,8.735131737281,1.0,1970.0,1,1,1,1,0,0,1,1,0,0,0
STUDIO,1990.0,1.0,34.0,8152,47.422795890378,8.557991734282,0.0,2025.0,1,1,1,1,1,0,0,0,1,0,1
FLAT,1875.0,1.5,40.0,8903,47.361037894372,8.460061737284,0.0,1996.0,1,0,0,0,1,0,1,0,0,0,0
DUPLEX,1940.0,3.5,86.0,8954,47.420434896374,8.412371735282,2.0,1981.0,1,1,0,1,0,0,1,1,0,0,0
FLAT,1900.0,2.5,70.0,8174,47.531804899377,8.465521734282,0.0,1996.0,0,0,0,0,0,0,1,1,0,0,0
FLAT,1905.0,1.5,65.0,8903,47.361037894372,8.460061737284,0.0,1996.0,1,1,0,0,1,0,1,0,0,0,0
FLAT,1271.0,1.5,33.0,8304,47.421549893371,8.602511738283,4.0,1975.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1990.0,1.0,39.0,8003,47.369254894372,8.520161734287,2.0,1939.0,1,0,1,0,0,0,0,1,0,0,0
FLAT,1960.0,3.5,90.0,8427,47.530936899377,8.580731739287,3.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1510.0,1.5,37.0,8810,47.258448893379,8.589021734283,5.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1611.0,2.5,52.0,8610,47.344599899377,8.707781735282,1.0,1966.0,1,1,0,1,0,0,1,1,0,0,0
FLAT,1600.0,2.0,49.0,8610,47.342534899377,8.724411734283,1.0,1962.0,1,1,0,1,0,0,1,1,0,0,0
